               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023034,           0.0099676,            0.012013,             0.98759,             0.96299,             0.99288,             0.72594,            0.020588,           0.0050424,           0.0029765,           0.0076679,           0.0076679,           0.0076679
                  36,            0.022873,           0.0095057,            0.012663,             0.98792,             0.97064,             0.99116,             0.71188,            0.023047,           0.0052813,           0.0030077,            0.007543,            0.007543,            0.007543
                  37,            0.021861,           0.0097859,            0.011182,             0.94859,             0.96662,             0.98982,             0.67646,            0.022547,           0.0056052,           0.0048137,            0.007416,            0.007416,            0.007416
                  38,            0.022755,           0.0097405,            0.011355,             0.96714,             0.98035,             0.99256,             0.71274,            0.023569,           0.0052997,           0.0039329,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023063,            0.010058,            0.012411,             0.97851,               0.976,             0.99071,             0.72461,            0.023148,           0.0052051,           0.0027813,           0.0071566,           0.0071566,           0.0071566
                  40,            0.022383,           0.0096642,             0.01031,             0.98746,             0.99353,               0.995,             0.69881,            0.022834,           0.0046673,           0.0020882,           0.0070243,           0.0070243,           0.0070243
                  41,            0.021629,            0.009969,            0.010359,             0.98432,             0.99856,             0.99476,             0.66292,            0.024623,           0.0050619,           0.0017539,           0.0068906,           0.0068906,           0.0068906
                  42,            0.021718,           0.0088989,            0.010838,             0.98584,             0.98553,             0.99409,             0.70389,             0.02354,           0.0047983,           0.0021914,           0.0067555,           0.0067555,           0.0067555
                  43,            0.020688,           0.0084495,            0.010409,             0.97125,             0.98257,             0.99074,             0.72573,            0.019583,           0.0050766,           0.0029239,           0.0066191,           0.0066191,           0.0066191
                  44,            0.021321,           0.0099291,            0.010723,             0.94947,             0.95763,             0.98428,             0.73829,             0.02175,           0.0050085,           0.0069168,           0.0064816,           0.0064816,           0.0064816
                  45,            0.020437,           0.0087489,            0.010368,             0.98647,             0.98163,             0.99455,             0.73321,            0.019881,           0.0050452,           0.0023407,           0.0063432,           0.0063432,           0.0063432
                  46,            0.021108,           0.0098542,            0.010499,             0.97131,             0.98313,             0.99016,             0.77621,             0.01981,           0.0046613,           0.0034619,            0.006204,            0.006204,            0.006204
                  47,            0.021044,           0.0096598,            0.010725,             0.98682,             0.98597,             0.99244,             0.70972,            0.023522,           0.0051098,           0.0022422,            0.006064,            0.006064,            0.006064
                  48,            0.019344,           0.0090236,           0.0095756,             0.98891,             0.98565,               0.995,             0.76451,            0.018437,           0.0042902,            0.001769,           0.0059235,           0.0059235,           0.0059235
                  49,            0.019399,           0.0092352,           0.0086412,             0.99448,                   1,               0.995,             0.69026,            0.022598,           0.0051383,           0.0013371,           0.0057826,           0.0057826,           0.0057826
                  50,             0.01955,           0.0091199,           0.0093979,             0.99055,             0.99229,               0.995,             0.74129,            0.021301,           0.0044909,           0.0015885,           0.0056413,           0.0056413,           0.0056413
